cycle_no,project,id,xp,proj_hours,proj_comp,proj_qual,lrn_supp,cult_cont,team_play,health_culture,health_team_play,health_technical,project_contrib,expected_contrib,contrib_gap,est_accuracy,est_bias
6,glorious-potoroo,dcf14075,12.88,9.0,97.75,95.5,97.62,90.48,92.86,MISSING DATA,MISSING DATA,MISSING DATA,30.0,19.57,10.43,90.0,-10.0
6,glorious-potoroo,936e3168,30.06,37.0,97.75,95.5,66.67,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,70.0,80.43,-10.43,90.0,-10.0
