cycle_no,project,id,xp,proj_hours,proj_comp,proj_qual,lrn_supp,cult_cont,team_play,health_culture,health_team_play,health_technical,challenge,project_contrib,expected_contrib,contrib_gap,est_accuracy,est_bias,retro_max_culture,retro_min_culture,retro_max_team_play,retro_min_team_play,retro_max_technical,retro_min_technical
17,cut-sandpiper,eb678107,22.14,29.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,100.0,100.0,50.0,7.0,41.0,53.7,-12.7,78.0,22.0,5,5,6,6,6,6
17,cut-sandpiper,690c133a,31.86,25.0,100.0,100.0,MISSING DATA,MISSING DATA,MISSING DATA,83.33,100.0,100.0,8.0,59.0,46.3,12.7,78.0,22.0,6,6,6,6,3,3
